kepid,kepoi_name,fpp_koi_period,fpp_prad,fpp_prob,fpp_score,fpp_delivname,fpp_spec_occrate,fpp_secthresh,fpp_maxrad,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,fpp_steff_err1,fpp_steff_err2,fpp_srad,fpp_srad_err1,fpp_srad_err2,fpp_smass,fpp_smass_err1,fpp_smass_err2,fpp_sage,fpp_sage_err1,fpp_sage_err2,fpp_dist,fpp_dist_err1,fpp_dist_err2,fpp_av,fpp_av_err1,fpp_av_err2
4544628,K04753.01,0.73,0.66,1.00E+00,0.00E+00,q1_q17_dr25_koi,0.022,21,1.98,5.90E-125,1.90E-134,3.10E-104,3.20E-16,1.70E-14,8.40E-28,0.005,6276,99.23,-125.48,1.21,0.295,-0.175,1.11,0.123,-0.111,9.52,0.168,-0.286,420,102.29,-62.14,0.42,0.045,-0.075
10291589,K04754.01,7.088,1.27,1.50E-03,1.00E+00,q1_q17_dr25_koi,0.121,107,2.13,2.20E-22,5.40E-18,3.00E-04,3.20E-07,3.60E-07,1.20E-03,0.013,5607,115.64,-72.18,0.9,0.11,-0.09,0.89,0.06,-0.086,9.84,0.185,-0.422,1054,132.5,-112.57,0.07,0.094,-0.05
10118266,K04755.01,3.743,1.78,4.30E-01,1.00E+00,q1_q17_dr25_koi,0.176,119,3,3.90E-03,3.20E-02,1.80E-01,2.20E-03,3.10E-02,1.90E-01,0.019,5267,43.41,-43.12,0.86,0.038,-0.034,0.87,0.031,-0.028,9.89,0.168,-0.315,742,33.19,-31.64,0.07,0.039,-0.042
5695615,K04756.01,5.417,7.98,1.00E+00,8.80E-01,q1_q17_dr25_koi,0.058,44,1.53,3.20E-33,3.00E-24,8.80E-02,2.70E-06,4.70E-06,7.90E-01,0.067,5958,132.77,-131.96,1.09,0.184,-0.126,1.05,0.09,-0.068,9.61,0.167,-0.356,1502,262.9,-178.65,0.16,0.088,-0.102
7435780,K04757.01,0.933,7.97,1.00E+00,1.00E+00,q1_q17_dr25_koi,0.061,94,1.74,3.00E-12,4.00E-04,2.10E-01,9.00E-04,8.40E-02,7.00E-01,0.057,6230,131.14,-141.7,1.28,0.439,-0.172,1.18,0.146,-0.093,9.47,0.133,-0.281,1603,544.17,-224,0.16,0.078,-0.093
8938937,K04758.01,37.108,1.52,4.00E-02,1.00E+00,q1_q17_dr25_koi,0.15,263,4.2,5.60E-07,4.40E-06,1.50E-02,5.20E-05,1.10E-04,2.50E-02,0.018,5214,51.93,-45.62,0.78,0.061,-0.075,0.79,0.05,-0.067,9.92,0.181,-0.407,1073,86.98,-110.52,0.04,0.045,-0.027
7949593,K04759.01,17.766,1.53,4.40E-03,1.00E+00,q1_q17_dr25_koi,0.148,92,1.71,3.20E-07,4.70E-07,2.20E-03,2.20E-05,4.70E-05,2.10E-03,0.015,5686,53.67,-56.29,0.93,0.033,-0.028,0.99,0.03,-0.037,9.5,0.196,-0.306,934,35.84,-31.77,0.2,0.035,-0.058
3103212,K04145.01,3.254,0.96,1.00E+00,2.90E-01,q1_q17_dr25_koi,0.082,18,1.23,2.10E-83,7.90E-119,5.20E-74,1.40E-18,9.00E-23,2.80E-01,0.009,5646,59.81,-64.77,0.98,0.075,-0.061,0.95,0.035,-0.037,9.84,0.127,-0.264,713,54.7,-45.47,0.27,0.054,-0.067
10000941,K04146.01,3.505,0.78,2.50E-03,1.00E+00,q1_q17_dr25_koi,0.042,26,0.96,6.80E-14,4.80E-11,1.00E-03,1.10E-05,6.00E-05,1.40E-03,0.009,5096,58.87,-61.22,0.8,0.041,-0.039,0.81,0.035,-0.037,9.93,0.179,-0.43,349,18.75,-18.44,0.1,0.062,-0.068
10000941,K04146.02,2.574,0.52,5.20E-02,1.00E+00,q1_q17_dr25_koi,0.001,15,2.88,1.10E-12,4.00E-11,4.00E-02,5.60E-05,9.40E-05,1.20E-02,0.006,5100,59.95,-59.42,0.8,0.042,-0.04,0.81,0.037,-0.039,9.94,0.175,-0.445,349,19.42,-18.63,0.1,0.06,-0.067
8029197,K04147.01,2.153,0.65,2.30E-02,1.00E+00,q1_q17_dr25_koi,0.028,7,3.3,1.90E-35,1.70E-24,2.10E-02,5.00E-10,5.10E-07,1.70E-03,0.006,5787,192.09,-126.91,0.99,0.152,-0.102,0.97,0.073,-0.074,9.71,0.204,-0.407,357,55.87,-40.88,0.16,0.152,-0.097
12257886,K04148.01,2.616,1.34,1.00E+00,0.00E+00,q1_q17_dr25_koi,0.14,141,1.71,1.40E-183,7.50E-108,4.00E-135,2.10E-42,2.30E-31,1.80E-29,0.012,5831,117.45,-99.84,1.03,0.158,-0.102,1,0.058,-0.069,9.71,0.173,-0.405,1238,194.51,-126.98,0.11,0.093,-0.074
